 Procedimentos hospitalares do SUS - por local de internação - Santa Catarina
Valor total por Município e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"420530 Faxinal dos Guedes";13586,13;22930,70;20000,13;18915,05;28529,74;23045,68;25288,24;25694,57;20377,65;26291,60;22127,00;17677,22;26246,05;23513,61;19191,26;17529,03;20299,25;24366,86;25921,07;27221,79;25373,55;27439,17;26146,90;29037,08;23359,37;26210,15;20138,38;28424,25;21264,41;28412,28;25004,16;25139,44;20754,91;30475,40;24540,81;21814,12;25585,20;25622,33;32071,93;27844,78;30818,13;28456,83;27339,83;31625,69;24929,51;26745,61;21196,88;25187,45;31835,28;26468,11;25695,95;34753,44;34733,64;25375,09;42632,07;38279,69;39740,37;35095,52;33755,25;38498,10;16647,21;22870,83;28602,92;33358,35;33231,81;40525,05;42104,86;63725,17;34343,90;44376,76;34680,76;27798,23;28888,86;38967,95;24782,68;29953,20;33214,31;67628,67;52176,83;51222,57;43830,76;64659,10;46950,31;50369,44;34856,24;34292,00;48307,45;47268,45;50965,92;57917,71;75672,79;62885,89;57979,15;54353,62;40571,20;30181,94;35242,03;33522,43;37992,72;50115,94;40546,85;39186,65;69154,66;62882,95;55050,02;53164,74;53668,36;33876,61;51228,19;49904,84;50444,56;50268,30;74088,16;59608,12;65179,87;48893,57;50431,49;53982,32;52053,48;64370,64;39823,61;39380,69;27534,24;36996,43;42542,02;39677,62;38127,60;33464,39;17274,32;20784,18;35000,87;18520,88;35518,99;43468,84;44869,21;41732,73;46789,02;49175,84;55361,96;62502,86;55920,95;85104,26;59632,06;81609,72;39794,18;53243,52;38270,63;22718,02;34366,04;27587,11;29370,11;21098,77;33534,17;68515,14;32728,91;39272,75;23624,56;22377,81;89576,11;5998485,20
"420540 Florianópolis";408009,39;1991289,35;2297477,71;3319363,86;3241670,48;3777095,55;3234934,10;3336606,74;3456968,47;4225718,62;2253350,51;4419056,81;3070498,84;2710040,93;3832315,37;3830345,18;3709635,49;3421405,58;3622037,70;3868119,94;3832798,89;3735716,68;3824029,43;3209689,78;3491214,71;2540589,78;3526454,74;3696042,85;2831888,63;3763559,04;3514612,29;3930090,77;3322986,57;3433629,87;3680915,30;3694574,12;4204120,95;3469975,29;3594473,96;3881170,41;4406324,29;3927196,65;4026315,38;3744926,00;4255457,41;3543601,51;4393985,40;3623266,09;4243641,84;3063039,31;4048985,88;3666232,92;4594877,39;4647889,47;4394272,10;4621142,34;4028200,43;4279338,23;3892613,13;3777139,45;3951860,21;4043396,21;4451241,94;5720192,81;4543936,22;4031355,87;4261110,95;5107525,21;4364923,52;4181356,72;4336378,87;4227491,53;5113863,49;4233895,90;5130034,01;3978451,30;4884190,42;4711486,77;5161412,28;6618274,76;5743282,06;5916979,61;5633211,50;4465855,81;5317985,96;4813989,60;5446178,35;5412589,16;5514423,28;5454530,33;5531211,11;5834715,85;5681437,26;5473374,83;3999471,37;5817306,90;4739198,76;4647340,67;4737212,53;5572594,05;5647937,77;5970789,52;5699843,58;5710788,93;6272941,78;4984534,85;5301021,78;4653645,62;4805366,67;4961834,29;5464215,43;4793931,84;5865932,07;5426258,46;5285780,57;5496383,79;4872437,68;5207392,88;4980187,66;4109344,85;4682393,21;4295762,69;5082777,18;5203257,60;5688918,69;5669551,73;5709915,21;5793668,60;5227682,00;5188350,75;5028678,87;4658382,89;4962714,78;4646881,78;5143240,53;5958542,51;5839449,83;5652838,61;6019344,17;6451162,65;6891550,79;6659499,44;6143951,68;4549892,56;4662423,56;5400985,13;5662966,11;4425052,13;4297684,85;5173860,29;4888583,49;5133352,47;6128988,41;6398421,82;7449665,93;5007957,80;4165996,83;5991548,83;5913182,72;732547837,02
"420550 Fraiburgo";58914,30;59438,95;63640,63;65589,79;54804,22;82666,24;65755,72;69873,95;85836,24;91833,19;61145,74;81873,01;55685,93;49165,56;35047,51;64706,43;58889,61;64514,48;71289,67;90042,98;71118,52;76962,31;87079,51;93448,38;65229,26;98768,18;97426,71;88753,93;86685,11;97161,67;96875,86;87521,31;106757,44;91103,13;91570,03;88112,33;73761,36;92803,21;94660,66;78753,40;91045,83;95789,48;90107,98;78547,46;77187,11;75014,06;69058,71;81321,38;70416,53;63819,27;94743,01;82562,43;109378,98;105330,20;75104,00;94319,36;99006,34;94406,67;66068,11;40799,30;1466,42;-;-;-;-;-;-;73273,31;57497,42;78435,40;55224,12;56511,59;63129,33;67735,04;64660,97;88078,72;72701,57;82920,65;58470,80;86052,92;83588,59;100572,44;85567,24;68757,42;77728,85;91409,17;79653,88;86651,09;85247,38;91284,93;87530,91;84405,01;85921,54;79890,92;61146,01;60845,52;72385,46;79256,32;127300,72;81505,12;79386,04;87462,88;89944,23;76046,19;86833,78;71888,07;73011,49;75135,44;59915,87;53925,84;69509,33;64001,28;57051,42;68339,77;70712,51;59617,30;58620,32;80215,00;74000,37;164778,11;57724,93;73646,11;91167,18;118764,62;158875,51;100143,37;145961,41;195648,48;111581,44;117039,89;98830,37;141150,18;90159,95;63443,88;110005,27;131623,60;135873,78;102141,31;137903,71;106303,32;19612,86;108312,98;80474,20;132109,98;117954,73;72403,63;101124,00;77298,04;64401,34;72095,69;66199,53;80609,30;92712,53;71266,63;109567,37;139275,67;94024,22;116936,13;146874,65;12897736,48
"420560 Galvão";5348,21;4476,46;9094,54;4726,75;4986,61;5754,74;21917,14;5434,86;5898,49;11176,96;6080,12;6643,72;5904,02;5130,58;5275,78;6268,72;4857,24;8181,46;9724,61;6252,62;5804,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;148938,16
"420590 Gaspar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7970,50;38768,92;144247,54;142502,66;103913,15;107769,37;100820,24;107030,02;114523,09;124384,68;94244,15;101405,27;85085,23;96329,39;120013,59;80433,75;114366,77;95515,10;103635,68;54989,66;97148,57;72009,71;48725,45;49891,68;43882,60;28497,11;-;6987,47;111212,91;94909,84;116741,20;116836,28;92468,93;103741,29;87286,95;75102,67;88532,21;105704,70;96502,11;106120,09;91059,44;110601,48;95361,52;81146,33;96510,70;100024,90;127126,07;89975,79;96099,56;58007,08;67542,38;138932,61;77278,48;116037,33;180636,41;174505,33;162398,90;118674,85;204897,81;161015,43;162620,45;154445,99;188597,56;138998,72;166830,26;216429,91;223136,01;231535,69;212426,34;198815,13;216094,38;153282,07;89867,00;136174,03;125439,18;91791,50;143698,17;127436,84;130070,94;110456,40;124201,64;92287,39;94205,92;110401,83;102710,53;115440,77;115647,30;99328,23;118942,00;112909,70;106339,89;121770,36;144844,45;126607,73;130075,82;91577,55;109209,38;113436,46;140667,28;126694,83;146276,21;145064,48;175522,22;179503,75;172738,38;169543,87;128406,29;148037,04;126673,58;132656,96;152545,40;146861,87;153758,74;156766,29;214780,34;222123,04;218543,53;214660,78;190417,86;111413,38;123759,71;150531,18;130488,38;104143,02;107855,75;191108,87;428372,25;425018,27;171980,33;165728,85;222248,26;183472,99;370616,66;364946,35;289154,70;18079248,14
"420630 Guabiruba";3307,03;5475,23;1476,72;9461,97;5991,54;6135,06;5355,63;4675,00;5894,55;7060,28;4435,65;5785,11;4204,32;4894,12;5994,80;3538,05;6287,61;3892,28;5810,26;8187,38;4660,32;8373,30;8044,67;2538,25;3145,02;5852,91;9242,16;3852,11;3533,07;10985,72;18654,49;20782,33;13759,48;8540,44;3497,49;7025,52;4585,90;6122,48;6780,89;3689,07;7098,44;7634,67;6646,79;6242,52;8703,00;7016,11;5420,22;-;5874,50;5212,92;4067,08;3314,30;6026,52;5061,88;4330,32;3938,51;3644,11;4478,79;4118,65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360357,54
"420640 Guaraciaba";2713,97;27447,53;16199,48;23918,64;27757,56;22093,97;25511,20;22021,72;24251,75;18505,55;18675,09;21665,01;17237,63;22798,74;25528,46;20023,97;26099,71;27400,48;22025,30;26248,49;22196,57;25015,47;24060,29;24983,92;23412,97;22386,01;24618,88;22988,21;22427,94;34013,04;30458,84;27138,40;25033,22;25872,50;26427,87;20728,30;27166,37;26626,15;29744,35;25857,34;28944,80;30096,18;27657,70;26543,02;36527,76;25449,96;20168,68;19140,56;22343,48;18335,79;18798,59;21396,60;23366,41;26878,41;25499,31;25278,57;19958,95;23392,29;25396,37;26344,29;20045,05;19325,28;20309,97;17928,46;18888,45;15539,67;12506,87;30629,48;24047,64;21072,96;10584,64;16124,27;14703,31;21750,53;20912,88;19431,35;16694,32;36359,20;20577,52;19838,64;50230,34;49104,87;44058,57;29782,29;29062,42;28659,47;31405,35;31237,09;29948,41;26947,38;29122,41;25793,24;24231,71;26431,96;22168,60;24609,68;25399,82;19084,84;18924,75;25598,58;14594,20;27706,88;13552,25;22039,67;13378,52;11964,76;10714,48;14190,43;12474,95;16565,15;19758,30;19367,92;12780,92;12649,95;19404,69;18976,59;15511,20;16977,86;19486,16;22597,43;17680,67;18855,13;11465,82;4312,65;26648,18;27846,74;30929,80;27163,21;28899,58;30486,70;32699,72;24899,30;21903,61;22710,58;14794,64;19686,18;32689,11;38966,78;36241,75;46285,33;49222,11;49431,91;34707,35;43022,91;40540,67;29096,97;24177,35;33438,29;24169,48;32773,76;29738,96;29279,19;37218,62;46265,54;34900,44;29555,30;26155,91;26783,08;69012,62;3969219,13
"420650 Guaramirim";39303,75;31293,60;35993,16;36462,94;27498,58;38884,95;46965,86;38608,14;34877,48;46978,67;27413,90;34792,18;24230,66;29233,01;40194,10;30124,42;32718,74;28076,01;33246,64;31856,96;69955,45;45177,63;56386,13;50581,93;40972,33;30810,35;30558,14;27198,96;19882,29;18886,67;22865,71;25181,16;27454,39;19208,56;18471,11;21757,57;17808,00;12303,76;11225,90;18511,69;18557,48;14709,78;25125,28;12821,60;20689,99;-;10993,25;11943,78;17930,46;12961,50;11338,60;8633,44;48416,73;31460,97;75758,77;56593,77;59047,40;33441,43;57937,12;24269,73;52629,70;60695,40;59356,99;42018,70;67998,27;46894,03;70821,72;30610,12;56489,22;83077,92;87012,46;54103,93;9361,63;29473,29;14892,14;15681,80;15712,96;18390,50;26369,53;18731,34;34414,85;27003,62;24456,28;24119,25;12434,68;21134,77;31194,75;38771,19;49011,69;28091,82;45929,34;30837,54;40054,11;31591,03;38110,81;18602,83;23447,83;26927,70;30913,39;40911,76;35344,63;45138,00;47929,30;45672,87;35003,02;37941,75;29318,16;24836,88;24986,80;17885,31;21408,14;13630,36;14614,11;7718,46;18252,22;12157,33;14416,59;15500,90;35119,78;6990,08;15246,46;23546,31;34082,96;24741,88;15922,16;45497,37;67415,23;74944,73;44420,00;20186,44;45523,98;24768,67;22189,45;48087,75;32870,30;51846,21;28165,16;6616,20;27011,12;13355,27;24026,78;14455,15;6378,42;8807,14;9353,27;5101,75;-;10195,29;-;3759,98;-;-;16237,01;33025,83;21215,87;118557,52;13234,92;-;-;4759514,72
"420660 Guarujá do Sul";8767,47;6772,62;7754,50;9163,54;6972,84;12012,79;12966,85;11889,77;10561,98;13046,81;12203,07;18580,17;14168,16;11155,40;8723,26;7950,29;9738,95;11942,23;10500,75;14856,61;20349,64;18942,95;26071,62;25187,07;13742,75;15292,58;21319,48;17748,80;22193,81;15564,63;20874,10;22953,40;23253,45;19663,19;20346,00;27892,75;14218,72;12363,01;15074,33;20685,09;17263,00;13624,73;15854,29;15013,53;11169,31;13864,84;21422,16;11136,51;9642,59;9134,78;8214,95;8296,99;8637,19;9842,06;10124,36;6375,57;9292,51;7649,32;12231,08;9042,73;7841,73;8316,31;8037,64;8439,57;7216,22;7487,81;12954,57;10786,14;20926,70;8132,57;15918,20;6806,94;8851,99;9739,66;10217,53;10022,02;10088,85;10062,26;18137,41;29055,30;23280,74;18373,70;15789,42;9582,82;20272,82;20213,90;16094,57;17413,97;27788,20;23539,60;20649,23;17107,65;27136,80;16686,23;16526,64;16731,58;18531,02;14167,27;13174,04;16492,14;16356,98;33008,22;21845,73;13940,59;16210,99;27503,89;28900,13;21302,69;24099,53;20129,56;37250,17;42805,68;51052,44;57493,95;39853,29;18325,64;24120,61;35219,76;47406,24;46256,13;36870,45;31719,73;34744,64;41926,38;36058,74;44927,12;40888,93;39539,19;28773,91;34482,30;27373,72;26419,18;26506,23;33212,33;26497,41;26655,34;26799,41;21465,70;25636,57;26687,27;18765,23;21656,82;26619,61;27731,56;16641,02;17196,15;16148,42;11112,31;10385,53;8470,14;10561,68;6385,69;11596,43;10534,91;14155,64;24850,17;15542,80;15628,51;8562,79;2992701,87
"420670 Herval d'Oeste";14835,01;20555,44;27579,36;42348,63;32496,75;34542,06;39035,19;29792,42;36333,31;34859,89;30055,83;30119,12;34574,77;17579,30;19070,16;39552,68;20717,91;29928,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;533976,65
"420680 Ibicaré";17812,62;26282,16;25142,76;28447,02;23927,40;25788,42;27117,72;28257,12;31371,48;34713,72;31143,60;37965,76;31744,48;37208,04;29590,96;31186,16;27557,08;30508,20;33140,28;28992,76;28035,64;18743,60;28195,16;28075,52;21694,72;28913,00;26879,12;25244,04;21734,60;26639,84;26560,08;29750,48;26599,96;25084,52;25842,24;28474,32;42871,00;28514,20;33578,96;28235,04;29790,36;38045,52;32661,72;32581,96;28434,44;39680,60;31624,84;37327,68;34177,16;43429,32;33618,84;37128,28;37247,92;30907,00;37048,52;46101,28;35134,28;39600,84;37247,92;25762,48;40877,00;27716,60;29431,44;33180,16;23648,84;27038,64;30707,60;24885,12;22811,36;18623,96;19860,24;25004,76;23329,80;25204,16;21295,92;23808,36;17666,84;11884,24;18544,20;26480,32;26560,08;23768,48;24047,64;13758,60;17706,72;15234,16;17547,20;12761,60;20179,28;18823,36;18185,28;18464,44;16550,20;-;29072,52;18025,76;14197,28;7497,44;10129,52;20538,20;18783,48;9810,48;13479,44;11206,28;4386,80;3988,00;6859,36;16829,36;16430,56;15393,68;21694,72;19979,88;16031,76;7577,20;29112,40;26480,32;22133,40;22452,44;18823,36;23688,72;12322,92;16430,56;37327,68;22771,48;20937,00;21614,96;22173,28;23210,16;11485,44;6819,48;7337,92;5024,88;4386,80;3150,52;2871,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3223168,14
"420690 Ibirama";32157,16;48845,55;115271,64;101865,85;90318,71;88930,25;66177,45;73808,03;83860,97;81325,37;81803,49;76569,18;67631,81;60829,02;122015,32;86490,74;93392,10;111107,60;84170,54;85334,63;148269,30;166308,71;100141,12;127372,63;123023,13;96330,90;95702,06;107592,80;93650,49;87351,27;98670,79;87056,70;89028,92;60670,55;71214,76;87087,11;59113,92;84805,54;97520,93;87456,99;98996,36;112237,83;96040,00;141416,89;180686,59;175871,82;112924,28;84102,06;75418,16;90737,94;102996,27;72601,72;114574,76;109143,44;108835,13;99603,00;97769,14;106700,12;147421,66;113920,20;122299,60;117916,89;108438,10;130877,37;110185,48;158113,03;173329,84;140511,49;136950,38;192536,75;196671,74;288270,57;111449,30;121524,64;140426,93;172328,57;139041,67;137698,99;157590,60;173299,94;180348,49;205958,75;205341,70;143737,26;146422,59;147286,71;166218,96;181253,47;199854,82;193456,94;120945,50;196549,29;230801,90;229884,26;215436,57;170238,92;146900,54;201889,75;156134,52;231918,98;156601,30;237411,22;260011,95;251997,99;218090,70;176170,24;173443,33;153831,89;190633,07;184460,96;272947,93;246647,72;216438,57;193254,59;184462,99;200756,14;209029,27;234808,92;206396,58;186042,75;191637,35;180910,94;219387,44;226773,27;297333,99;218908,47;147166,41;224140,01;200019,26;223667,42;250711,82;182029,84;240620,12;220641,70;242248,43;207178,78;199497,07;310569,32;319825,94;264691,49;312192,86;314265,65;336165,31;206587,41;436201,37;266151,86;328317,58;321722,40;384141,75;385470,88;263615,58;657794,67;471243,79;423975,56;209570,74;394364,75;160250,04;1288010,40;730205,61;29173958,59
"420700 Içara";89004,76;125539,64;129188,60;109245,59;117169,09;110794,07;143327,38;100955,54;138331,15;182569,63;146855,60;202101,62;110714,76;105545,26;149806,45;144100,85;142509,46;176363,45;170365,47;165331,93;173045,74;177265,13;158306,80;118600,35;100407,37;103846,06;142962,62;111763,75;117451,94;122931,83;120540,44;125638,80;100151,15;136846,72;133359,73;139276,08;130888,13;115266,32;118041,87;121032,71;103220,89;132558,21;137399,77;131194,21;116349,19;121824,48;114594,41;122861,49;77807,85;51359,02;102447,66;113056,59;126415,53;126330,32;135440,23;153483,33;198506,36;176433,32;157900,56;138416,27;149967,70;116964,49;134110,40;133779,34;130544,48;135236,47;138957,10;141337,30;139418,91;139238,19;134441,55;96905,84;123355,83;102126,54;102900,72;163513,60;157118,63;139450,74;169389,35;213457,41;220938,18;148110,22;182307,64;139592,18;104176,36;130520,77;166853,92;157832,69;217155,57;205833,45;249364,30;253064,42;244562,55;210660,71;165242,60;169746,44;172814,76;129538,88;145079,17;219597,14;151941,83;157740,68;144698,89;183399,80;167772,98;235201,86;257387,05;191691,31;123814,50;173779,06;208472,93;187883,77;185428,01;215330,70;227906,92;193925,11;239471,22;147991,52;155682,16;163067,66;147913,85;230987,50;191233,91;202890,41;186282,01;162875,46;181299,34;202952,01;172909,32;169391,48;136917,67;58900,47;197798,49;133881,00;124528,66;133271,74;142621,65;132865,85;171688,52;158202,82;172386,78;176566,90;172119,91;165941,72;164453,46;160124,89;216377,84;241127,38;141800,13;407081,49;283313,29;292064,98;330647,61;369277,30;459361,24;540529,37;594347,84;329764,40;582024,68;27011561,40
"420720 Imaruí";13194,66;411,09;25063,13;14915,11;15159,84;14699,45;13994,58;14145,95;14731,87;14172,45;13253,60;15005,18;15492,16;14576,72;16871,23;14063,61;14453,99;15031,16;14576,24;13518,36;22706,33;20653,53;17118,32;13977,67;12942,75;13542,52;13903,97;13772,14;13931,45;12892,74;11855,09;15904,89;14764,88;14243,40;12203,33;13261,05;15694,65;14076,53;13580,94;13990,12;14161,27;13882,01;14218,77;13664,25;13454,16;15525,31;15030,33;14982,37;15411,36;15147,53;13715,88;15512,28;13178,87;13111,72;14500,19;18448,64;13442,10;13283,70;11728,71;14343,66;13173,43;12048,87;12697,32;10699,18;12265,99;11434,55;10468,24;11965,33;2646,90;12617,93;10179,01;8917,58;11477,94;9906,11;10637,89;6773,46;18434,76;10478,48;8373,04;15405,87;8722,30;8004,02;9951,12;10634,72;5413,36;11960,40;10543,71;7927,50;13907,11;12340,22;13270,29;11320,98;8705,40;8447,09;15158,09;9330,78;9621,62;10552,30;8344,25;14480,23;13070,57;9920,56;12082,62;10068,23;4579,85;-;-;606,42;10819,36;5985,01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1365459,78
"420730 Imbituba";69321,31;69835,37;94225,14;80383,52;81268,49;80256,53;77982,39;65569,19;78485,48;75501,39;73663,86;95228,64;79609,68;84848,72;83894,78;73200,03;93869,81;81701,46;91260,72;88997,92;107103,16;76026,72;79942,13;73283,88;74733,79;64191,77;83255,20;87107,49;80916,60;78643,12;78976,99;87289,59;73074,10;81352,50;67231,79;64680,54;75035,50;69964,50;80544,98;86129,48;88008,50;98413,64;89255,93;89100,88;95942,69;99933,36;99540,15;110910,48;99321,67;96348,28;119726,38;104686,87;95313,50;90262,36;106305,98;111949,24;108513,98;92770,44;93172,37;122640,22;103799,52;94684,66;111328,03;125314,43;114813,10;120921,27;111700,51;135226,47;159858,15;166449,62;102951,56;107111,60;102599,76;104455,42;117858,39;106558,57;127296,72;136222,47;118811,86;116457,31;115842,51;133289,97;148878,00;105226,83;109324,12;108250,26;132436,04;137469,51;130043,95;134468,60;114641,19;155028,54;121657,55;118690,07;99581,02;91022,21;77392,27;108445,20;91022,39;86270,92;92069,32;95502,71;106864,97;117078,94;78595,54;124941,64;98368,52;80565,30;78479,67;80769,93;95529,00;93243,65;113983,58;101649,71;95542,60;100243,16;106321,23;103502,37;104646,77;95829,24;95794,92;114165,43;93446,96;126992,22;111811,76;122623,30;152993,23;107895,04;121455,40;128143,04;128971,18;143392,19;89043,98;85092,71;81157,73;115692,06;123868,00;93881,54;95522,33;105994,23;120973,39;127471,28;117204,63;152656,13;103619,92;134972,46;142935,72;114626,36;106885,38;137507,37;198846,38;182708,61;156640,40;182370,44;170585,74;661449,61;284284,80;116050,09;835571,17;18153130,73
"420740 Imbuia";436,74;7223,37;7069,77;7717,35;6976,17;6589,10;7931,44;7529,77;9060,33;7983,38;4639,33;7447,59;4946,86;5071,52;4723,48;5315,70;6508,61;7345,77;8262,53;6452,45;6199,02;5501,44;5558,23;4307,75;7001,76;2238,52;5812,26;6161,89;5561,05;4301,13;5111,02;6305,61;7603,14;7135,41;4257,31;4723,25;2756,31;5355,97;5142,46;3572,19;2900,03;3971,75;2802,60;2705,64;2682,30;1745,30;1761,07;1437,57;2019,99;2019,99;2123,22;1162,88;1745,30;2019,99;479,19;1061,61;1061,61;582,42;1164,84;1075,82;758,39;1266,11;1006,17;1314,87;1074,25;1383,52;1524,82;1747,26;1499,54;2137,43;453,40;582,42;582,42;1164,84;2329,68;786,92;1164,84;1164,84;1164,84;907,32;1188,84;1164,84;786,92;1019,55;635,07;1061,61;1045,63;683,69;1161,08;1302,78;2861,52;2109,71;582,42;2539,61;3686,30;2226,45;1442,96;1280,29;1111,82;1306,81;1644,03;1369,34;1350,22;616,14;1548,80;2104,75;1157,04;1376,28;357,42;1765,36;1397,33;582,42;3181,05;2157,97;1421,95;-;2834,78;1164,84;682,86;582,42;321,68;218,68;981,08;582,42;367,44;479,19;582,42;1164,84;463,21;1164,84;185,83;991,42;409,00;218,68;390,56;479,19;-;825,42;1910,90;1164,84;1647,73;204,50;768,25;292,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;366681,62
"420750 Indaial";121087,65;131653,43;112876,49;123967,88;142254,66;122444,91;154795,86;145209,22;120743,53;132232,92;108630,83;109944,60;139823,03;138998,88;130114,09;140093,90;141237,77;164783,81;148514,35;170572,82;160093,34;155471,61;179026,92;153430,15;143859,86;152433,35;163762,88;158588,89;139839,05;150950,69;146517,69;147812,36;144366,46;133798,78;155501,69;131959,54;201928,76;164652,77;203853,72;179070,82;158193,50;153064,14;169215,30;123056,30;123410,01;156234,88;158035,84;159846,06;170417,76;175259,15;185028,15;201904,04;192741,39;209290,82;196816,41;200564,38;200896,72;236348,15;228147,47;335459,42;209737,05;231897,62;286235,02;269017,14;243173,25;248049,19;341951,21;270808,61;309996,18;271946,36;286141,82;162834,00;293309,00;278236,25;236239,20;133489,59;209422,51;168017,48;177024,36;240893,50;225561,34;177390,16;169294,97;106845,55;216586,15;237692,55;273727,25;133979,30;250305,66;417133,44;284802,68;254519,55;218439,08;222584,86;226727,01;134461,33;219510,25;174786,60;159523,50;182040,66;244206,62;193986,54;218266,75;170235,12;202046,60;201818,05;196054,09;115765,18;154203,72;157865,22;186369,73;213381,13;196493,63;192365,26;182905,93;161016,39;179697,85;184532,22;155686,56;138870,40;146460,61;152509,40;162928,22;187310,75;211139,24;197039,23;197213,73;188284,12;197231,50;188392,10;160654,19;127339,69;183786,68;154623,06;202056,53;182884,20;183576,44;186078,89;223444,29;174511,26;185235,07;225891,39;180542,58;163702,06;193389,23;185936,11;161943,42;149324,35;200550,62;189936,44;263563,59;369562,69;305958,49;250603,99;235663,60;552234,04;300346,15;513894,37;714457,42;31351127,81
